run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
3325,41,3,58,40,6,352.558934,-0.244254,17.363,16.247,15.851,15.695,15.679,0.011,3.703E-3,3.652E-3,3.928E-3,6.681E-3
2662,40,3,233,263,6,352.640738,-0.017176,21.211,19.224,18.47,18.203,18.008,0.12,0.011,8.802E-3,9.225E-3,0.023
2662,40,3,233,635,3,352.640568,-0.174119,21.034,19.651,19.101,18.8,18.631,0.265,0.029,0.031,0.045,0.117
2662,40,3,233,271,6,352.650561,-0.035078,20.559,18.801,18.026,17.713,17.519,0.072,8.684E-3,7.336E-3,7.597E-3,0.016
3325,41,4,57,95,3,352.404438,0.034264,21.094,19.469,18.152,17.649,17.347,0.251,0.02,0.01,0.01,0.031
3325,41,4,57,124,3,352.476384,0.064716,21.098,19.815,19.623,19.431,19.454,0.198,0.022,0.026,0.035,0.149
3325,41,3,58,135,6,352.583686,-0.234215,20.517,19.642,19.254,19.106,19.099,0.087,0.016,0.016,0.02,0.062
3325,41,4,58,21,6,352.554113,0.059363,18.606,17.393,16.917,16.742,16.692,0.024,5.079E-3,4.768E-3,5.122E-3,0.012
2662,40,3,233,252,3,352.635222,-0.188469,21.864,19.615,18.494,18.037,17.637,0.286,0.016,9.812E-3,9.638E-3,0.024
3325,41,4,57,105,6,352.421668,0.048894,22.807,19.9,18.354,17.663,17.275,0.659,0.019,8.852E-3,7.772E-3,0.018
2662,40,3,231,112,6,352.364361,-0.187744,20.023,19.905,19.889,19.605,19.483,0.043,0.016,0.019,0.02,0.077
3325,41,3,58,41,6,352.561405,-0.248741,16.846,16.226,16.83,16.294,15.698,0.013,4.156E-3,0.017,5.161E-3,0.021
2662,40,3,233,278,6,352.661329,-0.054912,21.877,19.067,17.559,16.547,15.975,0.207,0.01,6.456E-3,5.841E-3,7.396E-3
3325,41,3,58,38,6,352.561492,-0.249208,14.415,12.253,11.676,11.509,22.544,4.645E-3,8.862E-4,9.281E-4,6.831E-4,2.104
2662,40,3,233,255,3,352.639799,-0.185152,20.661,18.906,17.828,17.346,17.001,0.163,0.014,8.829E-3,8.73E-3,0.023
2662,40,3,233,98,6,352.622535,-0.208146,17.984,16.59,16.063,15.846,15.713,0.014,4.215E-3,5.236E-3,5.403E-3,6.701E-3
3325,41,3,57,104,6,352.394733,-0.223045,20.592,18.129,17.008,16.558,16.297,0.092,6.921E-3,4.948E-3,4.728E-3,8.966E-3
3325,41,4,58,122,6,352.578618,0.052757,19.468,17.073,15.601,14.402,13.799,0.043,4.57E-3,3.474E-3,3.524E-3,4.01E-3
3325,41,4,57,43,6,352.412812,0.047004,18.359,16.894,16.327,16.134,16.061,0.02,4.273E-3,4.202E-3,4.127E-3,8.375E-3
3325,41,3,58,39,3,352.562257,-0.250871,18.812,16.274,15.431,15.107,14.982,0.027,3.837E-3,3.411E-3,3.494E-3,5.12E-3
2662,40,3,233,256,3,352.641755,-0.18563,20.978,19.486,18.437,17.946,17.53,0.178,0.018,0.012,0.011,0.029
2662,40,3,231,101,6,352.341814,-0.039272,17.381,16.256,15.82,15.681,15.577,9.78E-3,3.947E-3,4.756E-3,5.64E-3,6.29E-3
2662,40,3,233,249,6,352.635167,-0.198748,22.677,19.953,18.521,17.579,17.055,0.406,0.016,8.761E-3,7.22E-3,0.012
3325,41,3,57,69,6,352.451883,-0.257795,15.018,14.14,13.514,13.375,13.315,4.347E-3,3.722E-3,3.349E-3,4.94E-3,4.518E-3
2662,40,3,231,226,6,352.349555,-0.174038,22.508,19.44,18.049,17.28,16.814,0.285,0.012,7.317E-3,6.796E-3,0.011
3325,41,4,59,35,3,352.637319,7.341521E-3,19.252,18.322,17.705,17.219,17.104,0.042,7.898E-3,6.833E-3,6.536E-3,0.019
3325,41,3,58,120,3,352.539611,-0.263029,21.141,19.687,18.807,18.353,17.99,0.206,0.022,0.016,0.016,0.039
3325,41,4,57,41,6,352.390726,0.038114,18.306,16.671,16.005,15.769,15.646,0.02,4.057E-3,3.9E-3,3.761E-3,6.879E-3
3325,41,4,58,83,6,352.491376,0.077586,21.849,19.325,17.825,16.846,16.296,0.299,0.014,8.518E-3,7.193E-3,0.012
3325,41,4,59,34,6,352.640665,7.196812E-3,17.941,16.335,15.663,15.425,15.321,0.015,3.792E-3,3.361E-3,3.778E-3,5.944E-3
2662,40,3,233,244,6,352.634725,-0.205614,21.018,18.69,17.632,17.217,16.951,0.101,8.143E-3,6.596E-3,6.569E-3,0.012
2662,40,3,231,216,6,352.33702,-0.035127,21.64,19.039,17.7,17.165,16.809,0.14,9.705E-3,6.522E-3,6.613E-3,0.011
3325,41,4,57,102,6,352.407407,0.053368,20.268,18.253,17.4,17.103,16.937,0.077,7.063E-3,5.664E-3,5.817E-3,0.014
3325,41,4,57,92,6,352.401907,0.049943,20.678,19.746,19.4,19.293,19.307,0.107,0.017,0.017,0.024,0.089
